instance;n;p;pc;pm;run;bestObjective;evaluations;timeMs
ap_20_5.txt;20;5;0,400;0,050;3;127762,460744;50000;79
ap_20_5.txt;20;5;0,400;0,050;4;132227,824500;50000;88
ap_20_5.txt;20;5;0,400;0,050;5;128379,313036;50000;80
ap_20_5.txt;20;5;0,400;0,050;6;134272,426823;50000;81
ap_20_5.txt;20;5;0,400;0,050;7;129125,998303;50000;79
ap_20_5.txt;20;5;0,400;0,050;8;128379,313036;50000;79
ap_20_5.txt;20;5;0,400;0,050;9;129125,998303;50000;78
ap_20_5.txt;20;5;0,400;0,050;10;128379,313036;50000;79
ap_20_5.txt;20;5;0,400;0,050;11;123130,094620;50000;80
ap_20_5.txt;20;5;0,400;0,050;12;127153,527809;50000;115
ap_20_5.txt;20;5;0,400;0,050;13;125337,351649;50000;83
ap_20_5.txt;20;5;0,400;0,050;14;128895,701589;50000;79
ap_20_5.txt;20;5;0,400;0,050;15;134295,733781;50000;78
ap_20_5.txt;20;5;0,400;0,050;16;140754,430576;50000;79
ap_20_5.txt;20;5;0,400;0,050;17;124995,880282;50000;80
ap_20_5.txt;20;5;0,400;0,050;18;132227,824500;50000;80
ap_20_5.txt;20;5;0,400;0,050;19;123378,107682;50000;81
ap_20_5.txt;20;5;0,400;0,050;20;128689,706655;50000;80
ap_20_5.txt;20;5;0,400;0,050;21;127762,460744;50000;89
ap_20_5.txt;20;5;0,400;0,050;22;124995,880282;50000;80
ap_20_5.txt;20;5;0,400;0,050;23;130819,131368;50000;79
ap_20_5.txt;20;5;0,400;0,050;24;124995,880282;50000;84
ap_20_5.txt;20;5;0,400;0,050;25;126847,488264;50000;96
ap_20_5.txt;20;5;0,400;0,050;26;134517,944614;50000;88
ap_20_5.txt;20;5;0,400;0,050;27;131363,447710;50000;86
ap_20_5.txt;20;5;0,400;0,050;28;128379,313036;50000;79
ap_20_5.txt;20;5;0,400;0,050;29;134272,426823;50000;80
ap_20_5.txt;20;5;0,400;0,050;30;128379,313036;50000;80
ap_20_5.txt;20;5;0,400;0,100;1;123872,885785;50000;83
ap_20_5.txt;20;5;0,400;0,100;2;123378,107682;50000;85
ap_20_5.txt;20;5;0,400;0,100;3;124995,880282;50000;87
ap_20_5.txt;20;5;0,400;0,100;4;130761,352282;50000;97
ap_20_5.txt;20;5;0,400;0,100;5;131147,501659;50000;82
ap_20_5.txt;20;5;0,400;0,100;6;128379,313036;50000;116
ap_20_5.txt;20;5;0,400;0,100;7;126847,488264;50000;89
ap_20_5.txt;20;5;0,400;0,100;8;137050,956925;50000;81
ap_20_5.txt;20;5;0,400;0,100;9;129125,998303;50000;101
ap_20_5.txt;20;5;0,400;0,100;10;134272,426823;50000;82
ap_20_5.txt;20;5;0,400;0,100;11;128379,313036;50000;87
ap_20_5.txt;20;5;0,400;0,100;12;128379,313036;50000;82
ap_20_5.txt;20;5;0,400;0,100;13;124995,880282;50000;114
ap_20_5.txt;20;5;0,400;0,100;14;128379,313036;50000;106
ap_20_5.txt;20;5;0,400;0,100;15;128379,313036;50000;95
ap_20_5.txt;20;5;0,400;0,100;16;124995,880282;50000;87
ap_20_5.txt;20;5;0,400;0,100;17;130255,512026;50000;83
ap_20_5.txt;20;5;0,400;0,100;18;123378,107682;50000;112
ap_20_5.txt;20;5;0,400;0,100;19;126847,488264;50000;91
ap_20_5.txt;20;5;0,400;0,100;20;131077,500123;50000;138
ap_20_5.txt;20;5;0,400;0,100;21;128379,313036;50000;88
ap_20_5.txt;20;5;0,400;0,100;22;132212,884728;50000;80
ap_20_5.txt;20;5;0,400;0,100;23;126733,245415;50000;81
ap_20_5.txt;20;5;0,400;0,100;24;126847,488264;50000;82
ap_20_5.txt;20;5;0,400;0,100;25;127274,940034;50000;91
ap_20_5.txt;20;5;0,400;0,100;26;131363,447710;50000;88
ap_20_5.txt;20;5;0,400;0,100;27;134514,536173;50000;126
ap_20_5.txt;20;5;0,400;0,100;28;125337,351649;50000;102
ap_20_5.txt;20;5;0,400;0,100;29;124995,880282;50000;89
ap_20_5.txt;20;5;0,400;0,100;30;136244,446353;50000;82
ap_20_5.txt;20;5;0,600;0,010;1;136299,354918;50000;78
ap_20_5.txt;20;5;0,600;0,010;2;133367,707317;50000;77
ap_20_5.txt;20;5;0,600;0,010;3;133367,707317;50000;130
ap_20_5.txt;20;5;0,600;0,010;4;132452,009875;50000;80
ap_20_5.txt;20;5;0,600;0,010;5;138140,482395;50000;83
ap_20_5.txt;20;5;0,600;0,010;6;141223,587341;50000;78
ap_20_5.txt;20;5;0,600;0,010;7;134272,426823;50000;77
ap_20_5.txt;20;5;0,600;0,010;8;144661,427437;50000;102
ap_20_5.txt;20;5;0,600;0,010;9;129531,716891;50000;78
ap_20_5.txt;20;5;0,600;0,010;10;136910,108735;50000;88
ap_20_5.txt;20;5;0,600;0,010;11;130255,512026;50000;89
ap_20_5.txt;20;5;0,600;0,010;12;135091,449060;50000;80
ap_20_5.txt;20;5;0,600;0,010;13;131363,447710;50000;88
ap_20_5.txt;20;5;0,600;0,010;14;140797,679746;50000;78
ap_20_5.txt;20;5;0,600;0,010;15;129531,716891;50000;83
ap_20_5.txt;20;5;0,600;0,010;16;144393,290949;50000;83
ap_20_5.txt;20;5;0,600;0,010;17;134608,509698;50000;93
ap_20_5.txt;20;5;0,600;0,010;18;138158,483166;50000;80
ap_20_5.txt;20;5;0,600;0,010;19;131363,447710;50000;81
ap_20_5.txt;20;5;0,600;0,010;20;135134,268763;50000;79
ap_20_5.txt;20;5;0,600;0,010;21;132642,562450;50000;80
ap_20_5.txt;20;5;0,600;0,010;22;139073,707115;50000;79
ap_20_5.txt;20;5;0,600;0,010;23;144655,674094;50000;91
ap_20_5.txt;20;5;0,600;0,010;24;128895,701589;50000;78
ap_20_5.txt;20;5;0,600;0,010;25;133650,502979;50000;79
ap_20_5.txt;20;5;0,600;0,010;26;130997,542871;50000;79
ap_20_5.txt;20;5;0,600;0,010;27;150726,581940;50000;79
ap_20_5.txt;20;5;0,600;0,010;28;137313,253098;50000;92
ap_20_5.txt;20;5;0,600;0,010;29;134608,509698;50000;78
ap_20_5.txt;20;5;0,600;0,010;30;134133,720476;50000;81
ap_20_5.txt;20;5;0,600;0,050;1;130705,608063;50000;83
ap_20_5.txt;20;5;0,600;0,050;2;128379,313036;50000;85
ap_20_5.txt;20;5;0,600;0,050;3;128379,313036;50000;80
ap_20_5.txt;20;5;0,600;0,050;4;134272,426823;50000;79
ap_20_5.txt;20;5;0,600;0,050;5;126956,623015;50000;89
ap_20_5.txt;20;5;0,600;0,050;6;124995,880282;50000;94
ap_20_5.txt;20;5;0,600;0,050;7;130255,512026;50000;79
ap_20_5.txt;20;5;0,600;0,050;8;134806,909155;50000;79
ap_20_5.txt;20;5;0,600;0,050;9;127153,527809;50000;79
ap_20_5.txt;20;5;0,600;0,050;10;127153,527809;50000;79
ap_20_5.txt;20;5;0,600;0,050;11;137073,834849;50000;79
ap_20_5.txt;20;5;0,600;0,050;12;132642,562450;50000;84
ap_20_5.txt;20;5;0,600;0,050;13;130705,608063;50000;96
ap_20_5.txt;20;5;0,600;0,050;14;131437,081841;50000;79
ap_20_5.txt;20;5;0,600;0,050;15;129125,998303;50000;81
ap_20_5.txt;20;5;0,600;0,050;16;134608,509698;50000;79
ap_20_5.txt;20;5;0,600;0,050;17;132739,498834;50000;82
ap_20_5.txt;20;5;0,600;0,050;18;130705,608063;50000;79
ap_20_5.txt;20;5;0,600;0,050;19;131363,447710;50000;80
ap_20_5.txt;20;5;0,600;0,050;20;127762,460744;50000;79
ap_20_5.txt;20;5;0,600;0,050;21;128379,313036;50000;105
ap_20_5.txt;20;5;0,600;0,050;22;128379,313036;50000;79
ap_20_5.txt;20;5;0,600;0,050;23;128689,706655;50000;79
ap_20_5.txt;20;5;0,600;0,050;24;124995,880282;50000;79
ap_20_5.txt;20;5;0,600;0,050;25;124995,880282;50000;80
ap_20_5.txt;20;5;0,600;0,050;26;134953,901297;50000;80
ap_20_5.txt;20;5;0,600;0,050;27;134272,426823;50000;81
ap_20_5.txt;20;5;0,600;0,050;28;136910,108735;50000;78
ap_20_5.txt;20;5;0,600;0,050;29;128379,313036;50000;79
ap_20_5.txt;20;5;0,600;0,050;30;126956,623015;50000;80
ap_20_5.txt;20;5;0,600;0,100;1;128379,313036;50000;81
ap_20_5.txt;20;5;0,600;0,100;2;134272,426823;50000;80
ap_20_5.txt;20;5;0,600;0,100;3;129042,608907;50000;81
ap_20_5.txt;20;5;0,600;0,100;4;132452,009875;50000;81
ap_20_5.txt;20;5;0,600;0,100;5;126847,488264;50000;81
ap_20_5.txt;20;5;0,600;0,100;6;123378,107682;50000;81
ap_20_5.txt;20;5;0,600;0,100;7;128379,313036;50000;81
ap_20_5.txt;20;5;0,600;0,100;8;134608,509698;50000;81
ap_20_5.txt;20;5;0,600;0,100;9;128379,313036;50000;81
ap_20_5.txt;20;5;0,600;0,100;10;128895,701589;50000;83
ap_20_5.txt;20;5;0,600;0,100;11;127274,940034;50000;81
ap_20_5.txt;20;5;0,600;0,100;12;132642,562450;50000;81
ap_20_5.txt;20;5;0,600;0,100;13;126847,488264;50000;81
ap_20_5.txt;20;5;0,600;0,100;14;128379,313036;50000;83
ap_20_5.txt;20;5;0,600;0,100;15;137313,253098;50000;81
ap_20_5.txt;20;5;0,600;0,100;16;124995,880282;50000;94
ap_20_5.txt;20;5;0,600;0,100;17;124995,880282;50000;81
ap_20_5.txt;20;5;0,600;0,100;18;123378,107682;50000;81
ap_20_5.txt;20;5;0,600;0,100;19;128379,313036;50000;80
ap_20_5.txt;20;5;0,600;0,100;20;127153,527809;50000;81
ap_20_5.txt;20;5;0,600;0,100;21;124995,880282;50000;79
ap_20_5.txt;20;5;0,600;0,100;22;128379,313036;50000;81
ap_20_5.txt;20;5;0,600;0,100;23;123378,107682;50000;81
ap_20_5.txt;20;5;0,600;0,100;24;127762,460744;50000;81
ap_20_5.txt;20;5;0,600;0,100;25;134272,426823;50000;82
ap_20_5.txt;20;5;0,600;0,100;26;134272,426823;50000;80
ap_20_5.txt;20;5;0,600;0,100;27;128379,313036;50000;81
ap_20_5.txt;20;5;0,600;0,100;28;131437,081841;50000;80
ap_20_5.txt;20;5;0,600;0,100;29;128379,313036;50000;82
ap_20_5.txt;20;5;0,600;0,100;30;134272,426823;50000;81
ap_20_5.txt;20;5;0,800;0,010;1;133638,935343;50000;96
ap_20_5.txt;20;5;0,800;0,010;2;130480,053602;50000;77
ap_20_5.txt;20;5;0,800;0,010;3;135051,382754;50000;78
ap_20_5.txt;20;5;0,800;0,010;4;134514,536173;50000;78
ap_20_5.txt;20;5;0,800;0,010;5;133650,502979;50000;78
ap_20_5.txt;20;5;0,800;0,010;6;137583,374548;50000;78
ap_20_5.txt;20;5;0,800;0,010;7;133650,502979;50000;78
ap_20_5.txt;20;5;0,800;0,010;8;134272,426823;50000;78
ap_20_5.txt;20;5;0,800;0,010;9;140733,064015;50000;77
ap_20_5.txt;20;5;0,800;0,010;10;126847,488264;50000;78
ap_20_5.txt;20;5;0,800;0,010;11;145172,252898;50000;77
ap_20_5.txt;20;5;0,800;0,010;12;138025,095647;50000;79
ap_20_5.txt;20;5;0,800;0,010;13;137762,236628;50000;83
ap_20_5.txt;20;5;0,800;0,010;14;136082,256794;50000;78
ap_20_5.txt;20;5;0,800;0,010;15;128379,313036;50000;77
ap_20_5.txt;20;5;0,800;0,010;16;137824,371624;50000;77
ap_20_5.txt;20;5;0,800;0,010;17;132144,857959;50000;77
ap_20_5.txt;20;5;0,800;0,010;18;131363,447710;50000;78
ap_20_5.txt;20;5;0,800;0,010;19;131363,447710;50000;77
ap_20_5.txt;20;5;0,800;0,010;20;134330,987867;50000;77
ap_20_5.txt;20;5;0,800;0,010;21;134272,426823;50000;77
ap_20_5.txt;20;5;0,800;0,010;22;132778,200269;50000;77
ap_20_5.txt;20;5;0,800;0,010;23;131363,447710;50000;77
ap_20_5.txt;20;5;0,800;0,010;24;131363,447710;50000;77
ap_20_5.txt;20;5;0,800;0,010;25;134295,733781;50000;78
ap_20_5.txt;20;5;0,800;0,010;26;133910,104108;50000;78
ap_20_5.txt;20;5;0,800;0,010;27;131363,447710;50000;77
ap_20_5.txt;20;5;0,800;0,010;28;136213,745883;50000;76
ap_20_5.txt;20;5;0,800;0,010;29;134715,141631;50000;77
ap_20_5.txt;20;5;0,800;0,010;30;128689,706655;50000;78
ap_20_5.txt;20;5;0,800;0,050;1;128379,313036;50000;79
ap_20_5.txt;20;5;0,800;0,050;2;127153,527809;50000;79
ap_20_5.txt;20;5;0,800;0,050;3;132642,562450;50000;79
ap_20_5.txt;20;5;0,800;0,050;4;123378,107682;50000;78
ap_20_5.txt;20;5;0,800;0,050;5;124995,880282;50000;78
ap_20_5.txt;20;5;0,800;0,050;6;136910,108735;50000;79
ap_20_5.txt;20;5;0,800;0,050;7;126733,245415;50000;78
ap_20_5.txt;20;5;0,800;0,050;8;129726,821567;50000;78
